"año";"cantidad_focos_de_calor"
"2015";"140984"
"2016";"166434"
"2017";"184806"
"2018";"170674"
"2019";"145745"
"2020";"405904"
"2021";"164096"
"2022";"287685"
"2023";"153377"
"2024";"142484"
